h3_cell,forecast_method,predicted_violations_next_week,predicted_lower,predicted_upper,trend_direction,trend_slope,forecast_confidence,CIS,hotspot_status,police_station,location_name,lat,lon,trend_multiplier,predicted_risk,risk_category
8961892eb4fffff,trend_classifier,0,0,0,FALLING,-0.4999999999999989,0.5,12.647254945197387,NOT_HOTSPOT,K.G. Halli,K.G. Halli / Cell-4fffff,13.01823406,77.6185347,0.7,8.853078461638171,MINIMAL
8960145b297ffff,trend_classifier,7,0,0,STABLE,0.39999999999999847,0.5,14.503124463423806,EMERGING,Sadashivanagar,Sadashivanagar / Cell-97ffff,13.005502963636363,77.58081425818182,1.0,14.503124463423806,MINIMAL
8960145b397ffff,trend_classifier,11,0,0,RISING,2.6,0.5,14.404068434401024,EMERGING,Malleshwaram,Malleshwaram / Cell-97ffff,12.99729079090909,77.56022768333334,1.3,18.725288964721333,MINIMAL
8960145b003ffff,trend_classifier,1,0,0,FALLING,-0.500000000000001,0.5,9.791933357612375,EMERGING,Sheshadripuram,Sheshadripuram / Cell-03ffff,12.993136253271029,77.57350153457945,0.7,6.854353350328663,MINIMAL
8960145a68bffff,trend_classifier,2,0,0,STABLE,-0.7000000000000008,0.5,12.463258204985186,EMERGING,Basavanagudi,Basavanagudi / Cell-8bffff,12.944252914919485,77.57070523172604,1.0,12.463258204985186,MINIMAL
8961892e907ffff,trend_classifier,10,0,0,FALLING,-6.800000000000009,0.5,27.430596485322944,CONFIRMED_HIGH,Shivajinagar,Shivajinagar / Cell-07ffff,12.983849310723192,77.60852650548628,0.7,19.20141753972606,MINIMAL
89618925ebbffff,trend_classifier,0,0,0,FALLING,-1.2000000000000013,0.5,11.967848365889816,EMERGING,Adugodi,Adugodi / Cell-bbffff,12.94220555858586,77.6223085080808,0.7,8.377493856122872,MINIMAL
8960145b66fffff,trend_classifier,2,0,0,STABLE,0.09999999999999959,0.5,7.04267772597798,NOT_HOTSPOT,R.T. Nagar,R.T. Nagar / Cell-6fffff,13.010891757142858,77.58998307142858,1.0,7.04267772597798,MINIMAL
8960145a55bffff,insufficient_data,2,0,0,UNKNOWN,0.0,0.1,7.125562118866751,NOT_HOTSPOT,Banashankari,Banashankari / Cell-5bffff,12.9278153,77.54671024999999,0.8,5.7004496950934005,MINIMAL
896189262a7ffff,trend_classifier,60,0,0,RISING,24.999999999999993,0.5,17.055041317182624,EMERGING,Electronic City,Electronic City / Cell-a7ffff,12.8509053,77.65745645744681,1.3,22.171553712337413,LOW
8961892e95bffff,trend_classifier,0,0,0,FALLING,-0.3000000000000005,0.5,10.01396332243779,NOT_HOTSPOT,Pulikeshinagar(F.Town),Pulikeshinagar(F.Town) / Cell-5bffff,12.99480608,77.61834462,0.7,7.009774325706453,MINIMAL
89618926b1bffff,trend_classifier,0,0,0,STABLE,-2.0083673326242142e-16,0.5,8.190534948166409,NOT_HOTSPOT,Thalagattapura,Thalagattapura / Cell-1bffff,12.852245166666668,77.58824691666666,1.0,8.190534948166409,MINIMAL
896014514d3ffff,trend_classifier,2,0,0,STABLE,-0.10000000000000053,0.5,16.95656542548207,NOT_HOTSPOT,Thalagattapura,Thalagattapura / Cell-d3ffff,12.871897666666666,77.53910779047618,1.0,16.95656542548207,MINIMAL
8960145a2c7ffff,trend_classifier,0,0,0,STABLE,-5.909437655256903e-17,0.5,5.531094117907371,NOT_HOTSPOT,Magadi Road,Magadi Road / Cell-c7ffff,12.9630236,77.55263923333332,1.0,5.531094117907371,MINIMAL
8960145a84fffff,insufficient_data,1,0,0,UNKNOWN,0.0,0.1,8.882944776680523,NOT_HOTSPOT,Jnanabharathi,Jnanabharathi / Cell-4fffff,12.9509055,77.4865928,0.8,7.106355821344419,MINIMAL
8961892c807ffff,trend_classifier,1,0,0,STABLE,1.4112304007419296e-15,0.5,9.833537527050112,NOT_HOTSPOT,Hebbala,Hebbala / Cell-07ffff,13.0448785,77.60114471,1.0,9.833537527050112,MINIMAL
89618926077ffff,insufficient_data,1,0,0,UNKNOWN,0.0,0.1,4.87707852541898,EMERGING,Electronic City,Electronic City / Cell-77ffff,12.8401371,77.6535269,0.8,3.9016628203351846,MINIMAL
896189209bbffff,insufficient_data,1,0,0,UNKNOWN,0.0,0.1,4.87707852541898,NOT_HOTSPOT,Bellandur,Bellandur / Cell-bbffff,12.9263943,77.6978095,0.8,3.9016628203351846,MINIMAL
89601458587ffff,trend_classifier,12,0,0,RISING,2.0999999999999996,0.5,15.574172107759871,EMERGING,Jnanabharathi,Jnanabharathi / Cell-87ffff,12.961189875652174,77.51145039304348,1.3,20.246423740087835,LOW
8960145a8dbffff,trend_classifier,3,0,0,RISING,0.9999999999999998,0.5,19.215156964827862,NOT_HOTSPOT,Jnanabharathi,Jnanabharathi / Cell-dbffff,12.942179366666666,77.49546076666667,1.3,24.979704054276223,LOW
89618925b2bffff,trend_classifier,29,0,0,STABLE,2.8999999999999897,0.5,26.903140438998207,CONFIRMED_HIGH,City Market,City Market / Cell-2bffff,12.959362607658452,77.57736234947184,1.0,26.903140438998207,LOW
89601459177ffff,trend_classifier,0,0,0,STABLE,-7.850462293418875e-17,0.5,13.95694739147838,NOT_HOTSPOT,Chikkabanavara,Chikkabanavara / Cell-77ffff,13.04154025,77.51916435000001,1.0,13.95694739147838,MINIMAL
8961892edc3ffff,trend_classifier,0,0,0,FALLING,-1.4000000000000012,0.5,15.957972171992123,EMERGING,Jeevanbheemanagar,Jeevanbheemanagar / Cell-c3ffff,12.969988108849556,77.63673336637169,0.7,11.170580520394486,MINIMAL
89618925b1bffff,trend_classifier,0,0,0,STABLE,-2.0083673326242142e-16,0.5,19.32246973999133,NOT_HOTSPOT,Wilson Garden,Wilson Garden / Cell-1bffff,12.9575306,77.589077025,1.0,19.32246973999133,MINIMAL
8960145844bffff,trend_classifier,13,0,0,FALLING,-8.100000000000009,0.5,15.872724093173476,EMERGING,Vijayanagara,Vijayanagara / Cell-4bffff,12.988807202169468,77.5375768015784,0.7,11.110906865221432,MINIMAL
89618926b8bffff,insufficient_data,1,0,0,UNKNOWN,0.0,0.1,18.537645151982037,NOT_HOTSPOT,Thalagattapura,Thalagattapura / Cell-8bffff,12.8458396,77.5879195,0.8,14.83011612158563,MINIMAL
8960145b363ffff,trend_classifier,0,0,0,FALLING,-1.5000000000000013,0.5,9.634998393205231,NOT_HOTSPOT,Malleshwaram,Malleshwaram / Cell-63ffff,13.015238088888887,77.55312752222223,0.7,6.744498875243662,MINIMAL
89618924a47ffff,trend_classifier,1,0,0,FALLING,-1.9000000000000006,0.5,9.28463007029486,EMERGING,Jayanagara,Jayanagara / Cell-47ffff,12.917350027586208,77.57818204206896,0.7,6.499241049206401,MINIMAL
8961892ea6fffff,trend_classifier,1,0,0,FALLING,-0.20000000000000032,0.5,11.379555429831836,NOT_HOTSPOT,K.G. Halli,K.G. Halli / Cell-6fffff,13.0256996625,77.630594375,0.7,7.965688800882284,MINIMAL
89618920b03ffff,trend_classifier,0,0,0,FALLING,-3.2000000000000033,0.5,14.657600875004034,EMERGING,HAL Old Airport,HAL Old Airport / Cell-03ffff,12.956743332090488,77.70356182738462,0.7,10.260320612502824,MINIMAL
89618924333ffff,insufficient_data,1,0,0,UNKNOWN,0.0,0.1,18.537645151982037,NOT_HOTSPOT,Mico Layout,Mico Layout / Cell-33ffff,12.9005562,77.6076074,0.8,14.83011612158563,MINIMAL
89618924c5bffff,trend_classifier,7,0,0,STABLE,0.39999999999999863,0.5,11.198194485671252,NOT_HOTSPOT,J.P. Nagar,J.P. Nagar / Cell-5bffff,12.881892541666668,77.59587745,1.0,11.198194485671252,MINIMAL
8961892ebb3ffff,trend_classifier,5,0,0,FALLING,-1.400000000000002,0.5,11.035102728574362,EMERGING,Pulikeshinagar(F.Town),Pulikeshinagar(F.Town) / Cell-b3ffff,12.997462335526317,77.61440470657895,0.7,7.7245719100020525,MINIMAL
89618925ddbffff,trend_classifier,3,0,0,RISING,1.6,0.5,22.62093068683816,EMERGING,Mico Layout,Mico Layout / Cell-dbffff,12.92004361923077,77.61039271538462,1.3,29.40720989288961,LOW
89618925e77ffff,trend_classifier,1,0,0,FALLING,-0.4000000000000007,0.5,11.08961895943169,NOT_HOTSPOT,Ashok Nagar,Ashok Nagar / Cell-77ffff,12.9528732375,77.6191434,0.7,7.762733271602182,MINIMAL
8961892ebb7ffff,trend_classifier,0,0,0,FALLING,-5.700000000000004,0.5,13.27346417241737,EMERGING,Pulikeshinagar(F.Town),Pulikeshinagar(F.Town) / Cell-b7ffff,12.99718346084656,77.61081331798943,0.7,9.291424920692158,MINIMAL
89601690087ffff,trend_classifier,2,0,0,RISING,0.29999999999999977,0.5,11.104925013348296,NOT_HOTSPOT,Devanahalli Airport,Devanahalli Airport / Cell-87ffff,13.19398948,77.69687922,1.3,14.436402517352786,MINIMAL
89618934a1bffff,insufficient_data,1,0,0,UNKNOWN,0.0,0.1,18.537645151982037,NOT_HOTSPOT,Electronic City,Electronic City / Cell-1bffff,12.8066917,77.697604,0.8,14.83011612158563,MINIMAL
89618925a97ffff,trend_classifier,0,0,0,FALLING,-0.900000000000001,0.5,11.361559589860788,NOT_HOTSPOT,Ashok Nagar,Ashok Nagar / Cell-97ffff,12.951873457142856,77.6105591,0.7,7.953091712902551,MINIMAL
8960145840bffff,trend_classifier,4,0,0,RISING,0.9,0.5,5.120753196082474,NOT_HOTSPOT,Kamakshipalya,Kamakshipalya / Cell-0bffff,12.98228020008758,77.5316458331451,1.3,6.656979154907217,MINIMAL
89601459b23ffff,trend_classifier,9,0,0,STABLE,0.3999999999999983,0.5,10.212274652232225,NOT_HOTSPOT,No Police Station,No Police Station / Cell-23ffff,13.060770322857143,77.46126350571429,1.0,10.212274652232225,MINIMAL
8961892e613ffff,insufficient_data,1,0,0,UNKNOWN,0.0,0.1,6.880011372541205,NOT_HOTSPOT,K.R. Pura,K.R. Pura / Cell-13ffff,12.9991816,77.7156573,0.8,5.504009098032964,MINIMAL
8961892565bffff,trend_classifier,0,0,0,STABLE,-7.850462293418875e-17,0.5,3.1211611769178624,NOT_HOTSPOT,HAL Old Airport,HAL Old Airport / Cell-5bffff,12.9553923,77.6902469,1.0,3.1211611769178624,MINIMAL
8960145813bffff,trend_classifier,2,0,0,STABLE,-6.753653291421837e-16,0.5,1.1699947810490574,NOT_HOTSPOT,Kamakshipalya,Kamakshipalya / Cell-3bffff,12.986086233333332,77.48790105333335,1.0,1.1699947810490574,MINIMAL
8960145a6a7ffff,insufficient_data,1,0,0,UNKNOWN,0.0,0.1,8.882944776680523,NOT_HOTSPOT,Basavanagudi,Basavanagudi / Cell-a7ffff,12.940137,77.5576986,0.8,7.106355821344419,MINIMAL
89601459e0bffff,trend_classifier,4,0,0,RISING,0.9,0.5,6.727931618392933,NOT_HOTSPOT,Chikkabanavara,Chikkabanavara / Cell-0bffff,13.056256863636364,77.50737744545455,1.3,8.746311103910813,MINIMAL
89618925d8fffff,trend_classifier,1,0,0,STABLE,-1.7869704780219742e-16,0.5,6.865157246069961,EMERGING,Mico Layout,Mico Layout / Cell-8fffff,12.91313298,77.59974273,1.0,6.865157246069961,MINIMAL
8961892ea27ffff,trend_classifier,6,0,0,RISING,1.1999999999999997,0.5,10.916042177408048,NOT_HOTSPOT,Banaswadi,Banaswadi / Cell-27ffff,13.013893121739132,77.62694302173914,1.3,14.190854830630464,MINIMAL
8960145a883ffff,trend_classifier,2,0,0,RISING,0.6999999999999998,0.5,9.415712362112714,NOT_HOTSPOT,Kengeri,Kengeri / Cell-83ffff,12.932971355555557,77.48825807777777,1.3,12.240426070746528,MINIMAL
8961892ea7bffff,insufficient_data,2,0,0,UNKNOWN,0.0,0.1,15.137418540708424,NOT_HOTSPOT,Banaswadi,Banaswadi / Cell-7bffff,13.0229217,77.636756,0.8,12.10993483256674,MINIMAL
896189266abffff,trend_classifier,10,0,0,RISING,2.8,0.5,16.561530574065543,EMERGING,Electronic City,Electronic City / Cell-abffff,12.84027372096346,77.67704019842523,1.3,21.529989746285207,LOW
89618925e87ffff,trend_classifier,2,0,0,FALLING,-2.0000000000000018,0.5,12.556665101499192,EMERGING,Adugodi,Adugodi / Cell-87ffff,12.93989295652174,77.6253065847826,0.7,8.789665571049433,MINIMAL
8960144b5b3ffff,trend_classifier,0,0,0,STABLE,-7.850462293418875e-17,0.5,17.96281865846516,NOT_HOTSPOT,No Police Station,No Police Station / Cell-b3ffff,13.06699575,77.45180705,1.0,17.96281865846516,MINIMAL
896014584c3ffff,trend_classifier,1,0,0,STABLE,-4.025615028083654e-16,0.5,7.913264953995583,EMERGING,Magadi Road,Magadi Road / Cell-c3ffff,12.979182763157894,77.54030331315789,1.0,7.913264953995583,MINIMAL
8961892cdafffff,trend_classifier,0,0,0,FALLING,-5.500000000000003,0.5,9.561851882797322,EMERGING,R.T. Nagar,R.T. Nagar / Cell-afffff,13.0181962484375,77.5920386390625,0.7,6.693296317958125,MINIMAL
89618925cd3ffff,trend_classifier,0,0,0,FALLING,-0.7000000000000006,0.5,8.092392267740554,NOT_HOTSPOT,Adugodi,Adugodi / Cell-d3ffff,12.924345748653158,77.62880842912325,0.7,5.6646745874183875,MINIMAL
